utc,epoch,lat,lon
17:02,1786554120,82.2750,112.4867
17:04,1786554240,85.2950,104.2150
17:06,1786554360,87.2783,81.5250
17:08,1786554480,87.8233,33.0000
17:10,1786554600,86.8350,-1.6383
17:12,1786554720,85.4033,-15.1817
17:14,1786554840,83.9317,-21.1867
17:16,1786554960,82.4950,-24.2717
17:18,1786555080,81.1100,-25.9917
17:20,1786555200,79.7733,-26.9817
17:22,1786555320,78.4833,-27.5400
17:24,1786555440,77.2333,-27.8250
17:26,1786555560,76.0183,-27.9283
17:28,1786555680,74.8367,-27.9050
17:30,1786555800,73.6833,-27.7883
17:32,1786555920,72.5567,-27.6033
17:34,1786556040,71.4500,-27.3617
17:36,1786556160,70.3650,-27.0783
17:38,1786556280,69.2983,-26.7600
17:40,1786556400,68.2467,-26.4100
17:42,1786556520,67.2100,-26.0317
17:44,1786556640,66.1850,-25.6300
17:46,1786556760,65.1717,-25.2050
17:48,1786556880,64.1683,-24.7567
17:50,1786557000,63.1717,-24.2867
17:52,1786557120,62.1833,-23.7933
17:54,1786557240,61.2000,-23.2767
17:56,1786557360,60.2217,-22.7367
17:58,1786557480,59.2450,-22.1700
18:00,1786557600,58.2717,-21.5733
18:02,1786557720,57.2967,-20.9467
18:04,1786557840,56.3217,-20.2867
18:06,1786557960,55.3433,-19.5883
18:08,1786558080,54.3617,-18.8467
18:10,1786558200,53.3717,-18.0567
18:12,1786558320,52.3717,-17.2117
18:14,1786558440,51.3600,-16.3033
18:16,1786558560,50.3333,-15.3167
18:18,1786558680,49.2850,-14.2383
18:20,1786558800,48.2117,-13.0483
18:22,1786558920,47.1017,-11.7150
18:24,1786559040,45.9433,-10.1900
18:26,1786559160,44.7133,-8.3983
18:28,1786559280,43.3717,-6.1883
18:30,1786559400,41.8167,-3.1850
18:32,1786559520,39.4083,2.9500
